Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-1.975920e+01,2,-0.16,0.2
-1.975880e+01,2.04,-0.16,0.24
-1.975840e+01,2.04,-0.18,0.2
-1.975800e+01,1.96,-0.14,0.2
-1.975760e+01,1.96,-0.18,0.22
-1.975720e+01,1.96,-0.18,0.22
-1.975680e+01,1.96,-0.18,0.2
-1.975640e+01,2,-0.18,0.2
-1.975600e+01,2.04,-0.16,0.2
-1.975560e+01,1.96,-0.18,0.2
-1.975520e+01,2,-0.2,0.22
-1.975480e+01,2,-0.2,0.22
-1.975440e+01,1.96,-0.18,0.18
-1.975400e+01,2,-0.2,0.2
-1.975360e+01,1.96,-0.2,0.2
-1.975320e+01,2,-0.2,0.18
-1.975280e+01,2.04,-0.2,0.22
-1.975240e+01,1.96,-0.22,0.22
-1.975200e+01,2.04,-0.2,0.2
-1.975160e+01,1.96,-0.24,0.18
-1.975120e+01,2,-0.24,0.18
-1.975080e+01,1.96,-0.26,0.18
-1.975040e+01,1.96,-0.24,0.16
-1.975000e+01,2,-0.26,0.16
-1.974960e+01,2,-0.26,0.16
-1.974920e+01,1.96,-0.26,0.14
-1.974880e+01,2,-0.26,0.14
-1.974840e+01,2,-0.26,0.14
-1.974800e+01,2,-0.26,0.12
-1.974760e+01,2,-0.3,0.1
-1.974720e+01,1.96,-0.3,0.08
-1.974680e+01,1.92,-0.28,0.08
-1.974640e+01,2,-0.3,0.08
-1.974600e+01,2,-0.3,0.06
-1.974560e+01,1.96,-0.32,0.08
-1.974520e+01,2,-0.3,0.06
-1.974480e+01,2,-0.32,0.08
-1.974440e+01,2,-0.3,0.04
-1.974400e+01,2,-0.32,0.04
